"SVM_LABEL","SVM_PROB","sentiment_nya","tweet"
"1",0.54707675449794,"Negative","I’m so glad I invest my money with a hedge fund and pay exorbitant fees to ownchecks topholdings for hedge fundsAMZN MSFT BABA GOOGL FB GOOG V PYPL AAPL and JPM I don’t know how I’d get access to these exclusive stocks otherwise"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeextraordinarymachine"
"2",0.506794408075527,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcevldr on move"
"1",0.526708747427339,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeextraordinarymachine innovation design and execution cause and effect"
"2",0.506705512424676,"Neutral","spy spx compq ndx qqq tsla fsr pltraapl amzn twtr fb msft nflx Futurescrm penn nvda googl shop spotTHE TWITTERscapewhomper wind nonsense spectacle integraltheorywh atiamlookingfor"
"1",0.510242298005093,"Negative","whomperspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeextraordinarymachine"
"1",0.520958222963597,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeextraordinarymachine really"
"2",0.502831634878021,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmecubicleshasee ya gme amc bbby fubo bb"
"2",0.50229604015657,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx Futures xspa crm penn nvda googl shop spotharpyeagles whomper"
"2",0.502965445278114,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeextraordinarymachine martian tsla amc gme xspa"
